time, act_r, act_thr, th_mo, th_bi
0.0275,0.333787,1.57852,0.738666,2.41837
0.0276,0.333704,1.57835,0.738277,2.41842
0.0277,0.333622,1.57818,0.737888,2.41848
0.0278,0.333539,1.57802,0.737499,2.41853
0.0279,0.333457,1.57785,0.737109,2.41859
0.028,0.333374,1.57768,0.73672,2.41864
0.0281,0.333292,1.57751,0.73633,2.41869
0.0282,0.33321,1.57734,0.735941,2.41874
0.0283,0.333128,1.57717,0.735551,2.41879
0.0284,0.333046,1.577,0.735161,2.41884
0.0285,0.332964,1.57683,0.734772,2.41889
0.0286,0.332882,1.57666,0.734382,2.41894
0.0287,0.3328,1.57649,0.733993,2.41899
0.0288,0.332718,1.57632,0.733604,2.41904
0.0289,0.332637,1.57615,0.733214,2.41909
0.029,0.332555,1.57598,0.732826,2.41914
0.0291,0.332473,1.57581,0.732437,2.41918
0.0292,0.332392,1.57564,0.732048,2.41923
0.0293,0.332311,1.57547,0.73166,2.41928
0.0294,0.332229,1.5753,0.731273,2.41933
0.0295,0.332148,1.57513,0.730885,2.41937
0.0296,0.332067,1.57496,0.730498,2.41942
0.0297,0.331986,1.57479,0.730111,2.41947
0.0298,0.331905,1.57462,0.729725,2.41952
0.0299,0.331823,1.57445,0.729339,2.41956
0.03,0.331743,1.57428,0.728954,2.41961
0.0301,0.331662,1.57411,0.728569,2.41966
0.0302,0.331581,1.57395,0.728184,2.41971
0.0303,0.3315,1.57378,0.7278,2.41975
0.0304,0.331419,1.57361,0.727417,2.4198
0.0305,0.331339,1.57344,0.727035,2.41985
0.0306,0.331258,1.57328,0.726653,2.4199
0.0307,0.331178,1.57311,0.726271,2.41995
0.0308,0.331097,1.57294,0.725891,2.42
0.0309,0.331017,1.57278,0.725511,2.42005
0.031,0.330936,1.57261,0.725132,2.4201
0.0311,0.330856,1.57245,0.724753,2.42015
0.0312,0.330776,1.57229,0.724376,2.4202
0.0313,0.330695,1.57212,0.723999,2.42025
0.0314,0.330615,1.57196,0.723623,2.4203
0.0315,0.330535,1.5718,0.723248,2.42035
0.0316,0.330455,1.57164,0.722874,2.42041
0.0317,0.330375,1.57148,0.7225,2.42046
0.0318,0.330295,1.57132,0.722128,2.42051
0.0319,0.330215,1.57116,0.721757,2.42057
0.032,0.330135,1.571,0.721386,2.42062
0.0321,0.330055,1.57085,0.721017,2.42068
0.0322,0.329975,1.57069,0.720649,2.42073
0.0323,0.329896,1.57054,0.720281,2.42079
0.0324,0.329816,1.57038,0.719915,2.42085
0.0325,0.329736,1.57023,0.71955,2.42091
0.0326,0.329657,1.57008,0.719186,2.42097
0.0327,0.329577,1.56993,0.718823,2.42103
0.0328,0.329497,1.56978,0.718462,2.42109
0.0329,0.329418,1.56963,0.718101,2.42115
0.033,0.329338,1.56948,0.717742,2.42122
0.0331,0.329259,1.56933,0.717384,2.42128
0.0332,0.32918,1.56919,0.717027,2.42135
0.0333,0.3291,1.56904,0.716672,2.42141
0.0334,0.329021,1.5689,0.716317,2.42148
0.0335,0.328942,1.56876,0.715965,2.42155
0.0336,0.328862,1.56862,0.715613,2.42162
0.0337,0.328783,1.56848,0.715263,2.42169
0.0338,0.328704,1.56834,0.714914,2.42176
0.0339,0.328625,1.5682,0.714567,2.42183
0.034,0.328546,1.56806,0.714221,2.42191
0.0341,0.328467,1.56793,0.713876,2.42198
